timeStamp,tripID,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos,deviceID
20:25:28,215,282548710dab5e1ed0c10c69bde704430b9b77f241409e5d1c6b9d181fe71675238edc619a1ba08ce29fe5550348fe63cce883ea7cf69181bf5d8e3926f1860e,57.39,11.919,26.495,0,49.773,20.096,3.873832,15.99,270.19,4596.5,57.4,40.396,15.663365,11
17:00:46,111,0649c47c53a8b3d1610e28bc7ab12d6722899a70f79a64abf2611f0fa24deed2eeb10ae2e0ba5f1946ddd09f32a3c46d9f6d170748f22674a12b4c7485071eb0,91.52,12.456,32.606,0,27.331,24.581,3.671117,13.99,454.98,2183.7,91.5,15.955,39.907265,23
14:21:26,10,1b6a089b1b605e66a106d8f71c3eb552cd2e894363a8f511d87ac81ff95ec3d04c2854a9987fec8f840c5c8f7d58b91320adfd2cde40f059952623cd0b65b9d7,64.22,13.723,31.391,0,74.247,29.296,1.810371,13.43,178.65,1558.3,64.2,35.73,0.051246,22
13:39:00,201,d22a9037882ac8e82e6f590568e115c8044ea863fb419105679b2cbe21d98d281ebc7ca74d1916a9a09ae6ccf94ee01482e6206dbcb37c7fea8c6be60b370d91,79.3,12.439,13.081,1,64.676,21.99,2.108667,17.4,187.08,2017.3,79.3,31.507,85.739222,1
21:31:58,28,27f1750900698915c0a68c793a09ba948c2caa1d9ce59d4ba496212d62063c4da774eb6d500a10df9de70855a6cf76a5e251b3008e3ceec5dc7aea6a10a4fdbe,80.91,11.31,6.571,1,61.522,33.117,1.215735,7.86,401.85,940.0,80.9,45.54,66.559399,12
07:43:38,164,52c52c5b5c352b7b468de8715a9c19a872f295ea0277338ced5275dbc476e104c5599a85e801583fbe3f716dc85de4ecafcf4e166e45a0def09aab21699a2e09,57.54,11.458,43.634,0,46.851,21.473,3.689029,16.63,486.2,2651.5,57.5,14.762,36.708641,23
17:20:38,172,7931e03f89db1172f1a40d0bf39d8133602bb6d7f4746c50d36620d061c7f149b34432085289028895c1f10a7289862d8f4b631108a9fa2330f37c46e1aeae76,33.24,12.101,16.392,0,70.001,29.212,3.82765,15.32,454.56,520.8,33.2,47.541,6.555762,2
07:25:21,15,7a402a2d8fca887707505c0abf6adc5170bfbcee5be18e69f52938c0ba5e8dabb12a0406164f99a575fd5737943b970824a9a1909aa902f812aac9f392eb9e86,138.76,13.441,15.822,0,71.994,36.122,1.82332,5.72,95.38,2683.8,138.8,33.474,69.508866,13
08:56:58,25,6fe36a2d4e4a9a8068be3ce6f5c3decc9b4c250c8efd67caa5ac0573fdff46bddff9311de032b709ef7ceb174f2cf4c79b3b4a61d3e438c94cdadca91c3c50fc,82.75,11.607,30.971,1,69.628,17.369,3.532221,6.74,233.92,1105.2,82.7,24.795,29.776904,16
18:26:07,17,2ca873fcd338e29f8101342a36d7935416a979bb95e66ae8eb0a49b0f13884aa7e24219e44c2746ac101d9626b5c39bbbf5d20b5b5ed77b61616280b314503b2,40.61,13.194,55.946,0,55.418,19.486,2.095732,12.54,115.17,2734.9,40.6,14.946,67.072632,22
18:00:02,30,65a8378517294adba66c9b97b4f00ccfa317dcc264d011a19747d310453b17e555616701787bfd8768bbdb063bf523114807089c8d87a285447a3492683d1ff8,89.11,12.441,65.565,1,79.214,35.986,1.185598,15.46,313.97,2919.1,89.1,28.853,20.575905,11
21:11:25,199,9d2e1cbae3f85485d0cad7b5f3ee62e07da2a9096f52f5d3fc5fb0a5810054649d32ea9138302c6800455856fd5547ac0d2be032b6d6b5e141881d83ef3b71ec,66.42,11.252,64.522,0,64.483,42.32,3.900681,14.45,419.73,2041.9,66.4,12.111,27.621598,16
05:23:53,114,de5dc1aaab2827c16a25a3a437b3e4a99b4d644b121c8bff1dad1fa40ac7d46a2c4245ac14039a26a997714a0154da711a476d3a34e2fcda8e4703b14eb893ac,90.46,13.9,16.06,0,42.946,40.8,3.948288,10.97,304.78,500.0,90.5,10.133,95.123213,22
18:11:45,169,adadd5e936d780974a1d03d41aa5eae69ef492c8202b809e251d9a7e1f80d573374c1cfb5596b768a918ed7c1a3adcc3f3b78bbe7ef5fb09aa891fdd540ee034,26.13,11.927,56.154,0,51.164,36.201,1.400102,10.96,206.32,1212.6,26.1,19.273,6.278509,13
13:15:57,240,95b3e96089fa0362fb5376979ec1fced4bdd7d96dcd3cfa71fcb748d692b8a5bef3ac8f6a7fa6cd8150f346d4c3be0f5978bec25119b5482d266c3f1337ed426,75.13,13.642,59.197,0,35.869,26.487,1.337479,13.99,278.89,4205.9,75.1,37.726,86.363976,12
05:25:44,211,0d0a068fc99953c990bef4328fc5c5d0e3bf6d7aa7664c25a4825b9ac85bffb3970b588426543eb0d4420588a8913b9d263e7c9846c1ad5cf67141fdf07e224f,110.99,11.694,67.261,0,50.331,38.836,3.674131,15.36,431.53,1333.9,111.0,48.429,2.895518,11
00:02:39,220,b089850c01b9226d65182832798a1204a5ca4db3d5f87d6e1feffa317f6e7a125429a268d222ded53d7a55b66519a83786967004bfed9297ba9b52c80e2a2097,36.15,13.424,33.945,0,52.198,25.405,2.731066,9.14,461.19,3128.2,36.1,33.058,94.713446,23
07:16:01,194,6a0cad702d232364d89b7517298bb70ca12fd2a71a10e078f3c341bceaaf81e58755d83a0ca080316034cd55b3945ddd145fafb4d8e17369b65e1a93b26ad7c2,48.39,12.824,6.766,0,28.218,30.449,2.755678,11.18,96.81,2725.2,48.4,26.658,8.587147,12
21:42:18,76,421d3562a29f753f635919bd7eecd8ad0ad49c22cb9da9df71abd24d41422e2faedf04db1cd135379f06fa1067e508c9a5b2a6628c12b82bc3ffdf75ad7e23ba,69.82,13.088,15.273,0,29.863,32.811,1.302947,19.31,313.6,2565.8,69.8,43.848,78.470746,12
10:34:44,89,fdbe99a2b4f96efa7fe0ad537d3867b67d53ae42ebb463e3f0111d13247ebc3456378030bb1fe1b60a7258a8c71f322803caf5172a3dfa84e5cd7061547fa752,54.33,12.749,67.084,1,28.397,44.909,3.930832,12.26,260.49,3296.0,54.3,39.254,40.722373,11
18:57:28,31,0c627d99fe6d12fb1541da3f2139602c43ad01daa447e44ec91571f44805778a8762f88ed9cb0b548fe427514863cb4a4902c83f4f228d1a7fe161c803ebb832,14.39,11.985,36.819,0,74.599,40.298,1.461169,11.15,237.41,4489.2,14.4,2.356,42.267489,12
04:10:21,62,8cd5a5d275bb46e573a1bff18449a39d4717512f8ea43bb07689cbc072de56ae2e7ca98fb40b2d9417225f08728b0a0bc0e5069aa7b06cc25abc1407cf0f9c9d,14.34,11.734,8.735,0,38.135,15.317,2.02896,8.89,472.99,3293.7,14.3,1.228,21.825371,12
12:24:26,133,6c76d86ae8e4d6b38f26a4d9e5d516f667688d68a70c56cd69d5f4a232cf1389a29d65dad32577b12a348429171df38247869fa4fb2c0274e83e6539a4b7be7a,39.3,11.247,74.283,1,27.935,32.621,3.583581,13.52,433.03,2141.1,39.3,3.279,7.751267,13
23:35:21,199,922b143d105d139b8f9fde2995b9be35c6c7d3d7861061669d0ddd8c3b99581fb47c8db9a2fe30e0080dfe8a1fe6b995ddf9e32c1237aff9e374849e82adadf7,83.32,13.86,69.53,1,62.019,34.699,2.846483,6.56,123.09,3096.4,83.3,35.115,31.447395,11
03:11:03,199,a7eac122516dba75e1fb807748cf99b90f4f9293c12cbf3902025224c672bb843bc0866f2313d75913a17c6bdfa6f330b16ef25be664db239e84e865b12ff9d9,29.25,12.839,17.977,1,31.087,28.971,1.521029,14.16,316.9,4420.2,29.3,22.453,87.906082,16
